assetsType,dbType,name,nickname,uri,personalSign,businessSign
字段,,china_treat_tech_flag,使用中医诊疗技术标志,mr_idx_ctm,,
字段,,smoke_daily_num,日吸烟量(支)，最近1个月内平均每天的吸烟量，计量单位为支,nap_admit_assess,,
字段,,especial_condition,特殊条件,lis_requisition_info,,
字段,,diag_icd_name,"西医诊断名称 -----患者所患疾病的西医诊断名称",icr_consultation_nt,,
字段,,check_person,审核人员,cdr_lis_inspection_result,,
数据表,,cda_icr_salvage_op,抢救记录手术,,,
字段,,bgdysj,报告打印时间,pe_ywsj_tjz000,,
字段,,drainage_mtrl_name,引流材料名称,emr_gtr_general_oper_nt,,
字段,,fetal_position_code,"胎方位代码 ---胎儿方位类别在特定编码体系中的代码",emr_mir_waitfor_deliv_nt,,
数据表,,beacon_question_comment,问题评论表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,oracle,am_award_situation,奖励情况表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,respiratory_rate,"呼吸频率(次/min) ---患者单位时间内呼吸次数的测量值，计量单位为次/min",nor_dying_nt,,
字段,,oper_drug_name,"手术用药 ---手术所用药物的通用名称",mir_csect_nt,,
数据表,oracle,imp_import_data_table,导数据助手-数据库表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,register_addr_zipcode,户口地址-邮政编码，患者户籍登记所在地址的邮政编码,cdr_imhp_med_hpage_chn,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,emr_record_id,原EMR系统的文书文档ID，,cdr_ar_death_in24,,
字段,,practice_doctor_id,实习医师ID,imhp_med_hpage_chn_nt,,
字段,,post_oper_bleeding_num,术后出血量(mL)，产妇术时和术后出血量的累计值，计量单位为mL,cdr_mir_csect,,
字段,,present_addr_city,现住地址-市（地区、州）,dm_smi_diagnose,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,zxrxm0,执行人姓名(冗余，由触发器自动增加修改),cdr_yj_yw0000,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,srsj00,输入时间,yf_yzypsq,,
字段,,ward_name,"病区名称 ---患者当前所在病区的名称",icr_transfer_dept_nt,,
字段,,elec_sign_datetime,医师签名日期时间,cda_icr_pre_oper_discu,,
字段,,patient_ward_name,病区名称,inspection_sample,,
字段,,oper_cm3_name,"手术及操作名称 ---按照ICD-9-CM-3的名称",emr_somr_med_event_nt,,
数据表,,sync_ogg_process_mapping_record,OGG进程映射信息记录表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,zdbz00,诊断备注（用于做分型）,cdr_bq_brzdxx,,
字段,,start_time,开始时间,t_outpatient_medicine,,
字段,,fee_sequence_no,费用明细号#|#|,app_outp_lay_drug_pool_examina,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
字段,,exam_report_datetime,检查报告日期时间,cda_exam_rec,,
字段,,tssql1,特殊申请类1,cdr_pe_ywzd_tjlx00,,
字段,,first_phonetic,姓名首拼,exams,,
字段,,jcysxm,检查医生姓名,pe_ywsj_tjyw00,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,end_execute_operator,结束人,mob_out_trans_record,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,xm0000,病人姓名,zy_brxxb0,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,cell_factor_fee,血液和血液制品类-细胞因子类制品费,emr_case_fee_info,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,emr_archive_record,病历归档记录表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗应用数据-门（急）诊病历
字段,,qfsx00,欠费上限,cdr_tj_bm_bmbm00,,
字段,,unit,单位，,inpatient_fee,,
字段,,office_addr_province,工作单位地址-省(自治区、直辖市)，患者当前所在的工作单位地址的省、自治区或直辖市名称,imhp_med_hpage,,
字段,,attending_doctor_id,主治医师ID,icr_discharge_nt,,
字段,,discuss_addr,"讨论地点 ----患者诊疗相关讨论的地点",icr_pre_oper_discu_nt,,
字段,oracle,certificate_id,身份证号,pat_narco_card_master,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,diag_icd_code,患者所患疾病在西医诊断特定编码体系中的编码DE05.01.024.00HDSD00.02.049,cdr_t_emr_icr_salvage_nt,,
字段,,machine_time,上机时间,cdr_lis_inspection_sample,,
字段,,resident_health_cardno,居民健康卡号，患者持有的全国统一的居民健康卡的编号,ar_admit,,
字段,,elec_sign_datetime,"签名日期时间 ---进行电子签名时的公元纪年日期和时间的完整描述",emr_gtr_general_oper_nt,,
字段,,expectant_datetime,"待产日期时间 ---产妇进人产房时的公元纪年日期和时间的完整描述",emr_mir_waitfor_deliv_nt,,
数据表,,t_cog_mocalist,moca量表主表,,,
数据表,oracle,rule_project_info,规则方案,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,dept_location,科室地理位置,dic_dept_dict,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,sfyx00,"是否有效 1有效0无效",cdr_bm_yykjxm,,
字段,,store_org_code,保管机构代码，,cdr_icr_daily,,
字段,,operation_name_29,手术名称29,emr_case_operation_extend_info,,健康医疗数据规范-医疗应用数据-手术记录-手术名称
数据表,oracle,zeis_cri_cdss_menu_config,专病CDSS菜单配置,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,cfzje0,处方总金额,ys_cfxxb0,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,emr_non_standard_doc_content,病历非标准化文档内容表,,,
字段,,group_flag,医嘱成组标志,pres_outp_scheme_record,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,inpatient_no,住院号，按照某一特定编码规则赋予住院就诊对象的顺序号,gtr_post_oper_visit,,
字段,,kdks00,开单科室编号,zy_fymx00,,
字段,,prel_china_disease_name,由医师根据患者就诊时的情况，综合分析所作出的中医诊断病名DE05.10.172.00HDSD00.03.007,cdr_t_emr_ovw_emr_emer_obse_nt,,
字段,oracle,patient_name,病人姓名,pres_inp_chn_remind_record,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,external_conjugate_volume,"骶骨外径(cm) ---产妇第5腰椎棘突下至耻骨联合上缘中点距离的测量值，计量单位为cm",mir_waitfor_deliv_nt,,
字段,,store_org_name,保管机构名称,etr_test_rec_nt,,
字段,,sex_name,性别名称,ds_disch_summ_nt,,
数据表,oracle,emr_dump_first_course,首次病程记录表,,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,applydate,申请日期,ecg_study,,
字段,,reception_doctor_id,接诊医师ID,cda_icr_24h_death,,
字段,,clin_symp,临床症状,exam_apply,,
字段,,nurse_sign_name,护士签名,general_nursing,,
字段,oracle,event_no,就诊号,pres_oper_closed_loop_record,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号,
字段,,return_visit_guide,复诊指导,cda_disch_asses,,
数据表,,pres_inp_drug_print_record_time,住院用药打印记录临时表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,status_code,状态代码,esb_discharged_info,,
数据表,oracle,com_i18n_dict_lang_info_tmp,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
