assetsType,dbType,name,nickname,uri,personalSign,businessSign
字段,,operatorname,操作人姓名,qy_fault_repair,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,deptname,科室名称,pd_dept,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,userid,归属医生的userId,health_education_article_operation,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,deptname,部门名称s,qy_member,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operator_name,操作人名称,svn_subject_rule,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,m_msgtemp,消息模版,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,操作人名称,o_payorder,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,gecode,患者性别,r_online_ask,健康医疗数据规范-个人属性数据-人口统计信息-性别,
字段,,mobile,收件人手机号码,b_user_address,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,address,地址,b_member,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,operatorname,操作人名称,b_failure_report_label,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,me_rule,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,,tb_copy_question,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,b_behos_triageflow,,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗应用数据-病程记录;健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,yy_cancel,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,r_online_img,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,mc_consignee_address,收件人信息表,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-人口统计信息-住址;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,,tb_setting,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,cardno,卡号,pb_pos_bill,,
字段,,operatorname,,ev_message,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
