assetsType,dbType,name,nickname,uri,personalSign,businessSign
字段,,ypyfmc,药品用法名称,yf_mzcfmx,,
字段,,oper_nurse_name,"手术护士签名,",mir_vaginal_deliv,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,jtdz00,家庭地址,ba_brzyxx,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,second_anesthesia_doctor,"麻醉医生2,",operation_rec,,健康医疗数据规范-医疗应用数据-麻醉记录
字段,,resident_health_cardno,"居民健康卡号,患者持有的全国统一的居民健康卡的编号",io_inp_orders,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
字段,,address,住址,lis_requisition_info_o,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,lrrxm0,录入人姓名,bq_ypyz00,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,id_card_number,身份证号,esb_staff_info,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,zfje00,自付,zy_jzb000,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,oper_cm3_code,"手术及操作编码,患者住院期间实施的手术及操作在特定编码体系中的编码",med_event,,
字段,,office_email,工作邮箱,esb_staff_info,健康医疗数据规范-个人属性数据-个人通讯信息-邮箱,
字段,,id_card_number,"患者身份证号码,----患者的身份证件上的唯一法定标识符",temp_emr_nor_hvc_use_nt,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,resident_health_cardno,患者持有的全国统一的居民健康卡的编号DE01.00.021.00HDSD00.02.035,t_emr_ii_special_cont,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
字段,,inspection_person,,lis_requisition_info_h,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,report_format,报告格式,lis_ins_res_mic_o,,
字段,,resident_health_number,"城乡居民健康档案编号,城乡居民个人健康档案的编号",sign_measure_rec,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
字段,,yhdjmc,手术愈合等级名称,ss_ywmx00,,
字段,,orders_check_staff_name,"医嘱审核者签名,---对医嘱进行审核的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称",temp_emr_oemr_emer_obse_nt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,patient_name,,icr_pre_oper_discu,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,zzys00,结束主治医生,bq_brldxx,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,oper_doctor_sign_datetime,手术医生签名日期时间,temp_emr_mir_csect_nt,,
字段,,create_doctor_name,病历文书创作者签名,cda_other_consent,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,frequency_name,"频次名称,",medical_psec,,
字段,,create_doctor_name,病历文书创作者签名,cda_icr_daily,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,resident_health_number,"城乡居民健康档案编号,城乡居民个人健康档案的编号",mir_csect,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
字段,,disease_change_condition,"病情变化情况,对患者病情变化的详细描述",icr_salvage,,健康医疗数据规范-医疗应用数据-病程记录
字段,,property,性质,t_outpatient_diagnosis,,健康医疗数据规范-健康状态数据-症状
字段,,removeuser,移除人员,blood_data_mixresult,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,register_addr_zipcode,"户口地址-邮政编码,---患者户籍登记所在地址的邮政编码",temp_emr_imhp_med_hpage_nt,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,doctor_sign_name,"医师签名,---医师签署的在公安户籍管理部门正式登记注册的姓氏和名称",t_emr_ii_dying_notice_nt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,register_addr_village,户口地址-村(街、路、弄等),temp_emr_imhp_med_hpage_chn_nt,健康医疗数据规范-个人属性数据-人口统计信息-住址,
字段,,yzmxid,医嘱明细ID,bq_yzzxjl,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,test_tech_staff_name,"检验技师签名,---检验技师签署的在公安户籍管理部门正式登记注册的姓氏和名称",temp_emr_etr_test_rec_nt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,mzfs00,麻醉方式,ba_brssxx,,健康医疗数据规范-医疗应用数据-麻醉记录
字段,,oper_assistant_name,"手术助手签名,---手术助手签署的在公安户籍管理部门正式登记注册的姓氏和名称",emr_mir_csect_nt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,patient_name,患者本人在公安户籍管理部门正式登记注册的姓氏和名称DE02.01.039.00HDSD00.02.027,t_emr_oep_wst_presc_nt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,contact_name,,t_empi_doubt,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,chinese_name,,lis_inspection_result_h,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,allergic_history,"过敏史,患者既往发生过敏情况的详细描述",nor_general_nursing,,健康医疗数据规范-健康状态数据-既往病史
字段,,resident_health_number,"城乡居民健康档案编号,城乡居民个人健康档案的编号",ii_oper_consent,健康医疗数据规范-个人属性数据-个人身份信息-健康卡,
