assetsType,dbType,name,nickname,uri,personalSign,businessSign
数据表,,LIS_ReportResult,标本报告结果表,,,健康医疗数据规范-医疗应用数据-检查检验报告-检查时间;健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,OEORR_ResultStatusCode,医嘱结果状态代码,/OE_OrdResult,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAD_DiagDate,诊断日期,/PA_Diagnose,,健康医疗数据规范-医疗应用数据-诊断信息-诊断时间
数据表,,PA_Patient,患者基本信息表,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-人口统计信息-出生日期;健康医疗数据规范-个人属性数据-人口统计信息-民族;健康医疗数据规范-个人属性数据-人口统计信息-职业;健康医疗数据规范-个人属性数据-人口统计信息-性别;健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-公共卫生数据-出生死亡数据
数据表,,CT_Dept,科室字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-卫生资源数据-医院基本数据
字段,,CTCP_DeptCode,所属科室,/CT_CareProv,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,PA_Identifier,患者证件表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,CTCP_JobCode,职称代码,/CT_CareProv,健康医疗数据规范-个人属性数据-医护人员信息-医护职称,
数据表,,CT_DoseForms,剂型字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,"REORD HosOrderID",医院内部医嘱明,/Rel_Order,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_Nation,民族代码字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,HOSD_Organld,医疗机构编码,/HOS_Document,,健康医疗数据规范-医疗应用数据-机构信息
字段,,OEORE_AdminStatusCode,医嘱执行记录状态,/OE_OrdExec,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,"CT EncounterType",就诊类别字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,RIS_Order,检查医嘱关联表,,,健康医疗数据规范-医疗应用数据-医嘱信息;健康医疗数据规范-医疗应用数据-检查检验报告-检查部位
数据表,,CT_Hospital,医院字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-卫生资源数据-医院基本数据
字段,,PAPAT_DE_SexCode,性别代码,/PA_Patient,健康医疗数据规范-个人属性数据-人口统计信息-性别,
数据表,,Rel_OrderExec,执行记录关联表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_BodyArea,检查部位字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,OEORR_OrderItemID,医嘱明细ID,/OE_OrdResult,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_HouDocType,院内文档类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,PAPAT_Telephone,本人联系电话,/PA_Patient,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,PAADM_AdmitDocCode,入院医生,/PA_Adm,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,RRRID_HosCode,医院编号,/Rel_RisReportID,,健康医疗数据规范-卫生资源数据-医院基本数据
字段,,RISR_ReportDocCode,报告医生代码,/RIS_Report,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,CT_TransType,转移类型字典表,,健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,OE_Order,医嘱记录主表,,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,RISR_ItemDesc,检查项目描述,/RIS_Report,,健康医疗数据规范-医疗应用数据-检查检验报告-检查项目
字段,,PAPAT_OccupationCode,病人职业,/PA_Patient,健康医疗数据规范-个人属性数据-人口统计信息-职业,
字段,,MOHD_PatientName,患者姓名,/MOH_Document,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,PAD_DiagSeq,诊断序号,/PA_Diagnose,,健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
数据表,,LIS_ItemSenResult,药敏结果表,,,健康医疗数据规范-医疗应用数据-检查检验报告-检查类型;健康医疗数据规范-医疗应用数据-检查检验报告-检查结果;健康医疗数据规范-医疗应用数据-检查检验报告-检查项目
